x,y,z,h,wx,wy,wz,a,b,xL,xU,yL,yU,zL,zU,fitQuality,readout,dataType,chn,fov,locusX,locusY,tableOrder,hybe,chnNum,idx,panel,s,fs,fsr,xshift,yshift,zshift,shiftScore,fid_x,fid_y,fid_z,fid_h
965.741244977977,859.948896295563,5710.39560562057,1794.18001922951,136.752464304351,136.752464304351,367.886377411587,581.889493610006,1231.69456635947,NaN,NaN,NaN,NaN,NaN,NaN,21.9484982725793,24,H,647,11,86724,180036,24,24,1,1,24,100,6316,20100994,-202.5,81,300,1,1080,1080,5100,771.96611642576
1646.75753970953,851.385616416185,4599.54055562536,2723.67504231752,121.72326736229,121.72326736229,374.999999999997,2227.61087695014,1333.92118422347,NaN,NaN,NaN,NaN,NaN,NaN,5.83699500201768,25,H,647,11,86724,180036,25,25,1,1,25,100,6316,20107336,283.5,135,-787.5,1,1080,1080,5100,771.96611642576
1132.51783417022,874.12808146817,5536.16709836263,1885.23315086724,169.042813219139,169.042813219139,374.999999999997,586.997614685259,1303.4139082477,NaN,NaN,NaN,NaN,NaN,NaN,28.178813426798,26,H,647,11,86724,180036,26,26,1,1,26,100,6316,20113679,0,0,0,0,1080,1080,5100,771.96611642576
1479.48647557219,835.474465231164,5730.37395342549,2158.03745236574,128.485433783311,128.485433783311,374.999999999997,1157.33888834463,1035.52808717852,NaN,NaN,NaN,NaN,NaN,NaN,10.1670817051438,27,H,647,11,86724,180036,27,27,1,1,27,100,6316,20120023,229.5,0,225,1,1080,1080,5100,771.96611642576
1489.32614438461,792.036440776431,5174.05037325221,1659.46840870976,146.03368914259,146.03368914259,374.999999999997,835.498043780449,857.414701776636,NaN,NaN,NaN,NaN,NaN,NaN,13.0587730939884,28,H,647,11,86724,180036,28,28,1,1,28,100,6316,20126368,175.5,81,-300,1,1080,1080,5100,771.96611642576
1315.25307278382,986.139401254064,4479.10760966136,1228.70213539951,147.009040974607,147.009040974607,374.999999999997,516.458351187397,735.205443494297,NaN,NaN,NaN,NaN,NaN,NaN,15.7640658359342,29,H,647,11,86724,180036,29,29,1,1,29,100,6316,20132714,40.5,243,-825,1,1080,1080,5100,771.96611642576
1354.3434824153,959.360252359696,4678.64697790817,1586.2794194461,174.076183211787,174.076183211787,374.999999999997,459.387007543127,1070.91735721868,NaN,NaN,NaN,NaN,NaN,NaN,35.9910593667743,30,H,647,11,86724,180036,30,30,1,1,30,100,6316,20139061,148.5,189,-862.5,1,1080,1080,5100,771.96611642576
947.47649167946,1068.35323256724,7650,387.205705996409,161.966286478052,161.966286478052,374.999999999997,272.345594700068,221.293420636752,NaN,NaN,NaN,NaN,NaN,NaN,21.810198065536,1,H,647,11,87372,60156,1,1,1,1,1,101,6429,20675666,0,0,375,1,1080,972,7200,428.314352405805
1179.58547308243,1062.31828042818,7650,1063.21697831833,148.351851877336,148.351851877336,374.999999999997,620.111379496925,768.005804340958,NaN,NaN,NaN,NaN,NaN,NaN,20.0538868653011,7,H,647,11,87372,60156,7,7,1,1,7,101,6429,20714273,-13.5,-27,562.5,1,1080,972,7200,428.314352405805
1106.70579935461,799.548330366245,7650,974.213624849317,136.352352364597,136.352352364597,374.999999999997,688.34172593555,639.372550852484,NaN,NaN,NaN,NaN,NaN,NaN,11.6634672339137,13,H,647,11,87372,60156,13,13,1,1,13,101,6429,20752916,40.5,-108,412.5,1,1080,972,7200,428.314352405805
1108.22988688679,839.061096626961,7650,892.979745010432,145.22738629699,145.22738629699,374.999999999997,663.132896340023,574.705645749622,NaN,NaN,NaN,NaN,NaN,NaN,15.0752189479288,14,H,647,11,87372,60156,14,14,1,1,14,101,6429,20759360,-54,-81,562.5,1,1080,972,7200,428.314352405805
1052.25921587062,1002.27689540876,7650,1538.78019976693,150.384919897722,150.384919897722,374.999999999997,749.615701803861,1185.86713397306,NaN,NaN,NaN,NaN,NaN,NaN,20.5996319713906,26,H,647,11,87372,60156,26,26,1,1,26,101,6429,20836766,67.5,-162,525,1,1080,972,7200,428.314352405805
971.999999998497,1016.04602675861,7650,1072.76350568804,155.691990534523,155.691990534523,374.999999999997,530.327026369744,815.689008250045,NaN,NaN,NaN,NaN,NaN,NaN,22.8880177751002,27,H,647,11,87372,60156,27,27,1,1,27,101,6429,20843223,0,-135,637.5,1,1080,972,7200,428.314352405805
1038.88706753902,944.956037136499,7650,838.026510752785,140.625979071924,140.625979071924,367.303793445896,282.778060980663,676.37301134943,NaN,NaN,NaN,NaN,NaN,NaN,31.9512328596573,28,H,647,11,87372,60156,28,28,1,1,28,101,6429,20849681,-13.5,-108,487.5,1,1080,972,7200,428.314352405805
944.532989041668,1010.78100310599,7650,884.477141451312,142.298739113511,142.298739113511,374.999999999997,526.824271493835,668.141710018128,NaN,NaN,NaN,NaN,NaN,NaN,17.9920217163299,29,H,647,11,87372,60156,29,29,1,1,29,101,6429,20856140,-67.5,27,412.5,1,1080,972,7200,428.314352405805
993.297935891748,1030.24805377964,7500,1204.5556139643,144.269452878085,144.269452878085,374.999999999997,505.457576061327,963.477557123735,NaN,NaN,NaN,NaN,NaN,NaN,34.3686929383761,30,H,647,11,87372,60156,30,30,1,1,30,101,6429,20862600,-13.5,-27,487.5,1,1080,972,7200,428.314352405805
1027.70127333814,1033.47973637557,5234.2786261424,1173.16478533093,110.50110651148,110.50110651148,374.999999999997,1070.05024184289,309.051467138631,NaN,NaN,NaN,NaN,NaN,NaN,4.81091647983782,1,H,647,11,87372,180036,1,1,1,1,1,102,6543,21415241,27,0,0,1,1080,1188,5250,767.917542030903
948.538576591572,910.802344986954,5093.53310161458,1480.17678157344,126.708979293202,126.708979293202,374.999999999997,1002.3193348709,612.040630340683,NaN,NaN,NaN,NaN,NaN,NaN,10.5225109826275,2,H,647,11,87372,180036,2,2,1,1,2,102,6543,21421787,13.5,81,-262.5,1,1080,1188,5250,767.917542030903
